"name","net_income","apple_genre"
"Domino's Pizza USA","$1,109,000.00","Food & Drink"
"DoorDash - Food Delivery","$1,055,000.00","Food & Drink"
"Starbucks","$1,055,000.00","Food & Drink"
"Discord - Chat for Gamers","$1,055,000.00","Social Networking"
"GroupMe","$1,055,000.00","Social Networking"
"Pinterest","$1,055,000.00","Social Networking"
"WhatsApp Messenger","$1,055,000.00","Social Networking"
"Threema","$1,050,100.00","Social Networking"
"WeChat","$1,001,000.00","Social Networking"
"Wishbone - Compare Anything","$1,001,000.00","Social Networking"
"SONIC Drive-In","$947,000.00","Food & Drink"
"Hangouts","$947,000.00","Social Networking"
"Kik","$947,000.00","Social Networking"
"Tumblr","$947,000.00","Social Networking"
"Airbnb","$947,000.00","Travel"
"Google Street View","$947,000.00","Travel"
"Paprika Recipe Manager","$922,100.00","Food & Drink"
"Allrecipes Dinner Spinner","$839,000.00","Food & Drink"
"Chick-fil-A","$839,000.00","Food & Drink"
"Facebook","$839,000.00","Social Networking"
"LinkedIn","$839,000.00","Social Networking"
"Timehop","$839,000.00","Social Networking"
"YouNow: Live Stream Video Chat","$839,000.00","Social Networking"
"DB Navigator","$839,000.00","Travel"
"Google Earth","$839,000.00","Travel"
"Whataburger","$731,000.00","Food & Drink"
"Messenger","$731,000.00","Social Networking"
"Fly Delta","$731,000.00","Travel"
"Southwest Airlines","$731,000.00","Travel"
"Uber","$731,000.00","Travel"
"Battlefield™ Companion","$623,000.00","Social Networking"
"United Airlines","$623,000.00","Travel"
"McDonald's","$515,000.00","Food & Drink"
"SNCF","$407,000.00","Travel"
