"name","net_income","apple_genre","google_genre","google_category"
"ASOS","$1,109,000.00","Shopping","Shopping","SHOPPING"
"Cytus","$1,109,000.00","Games","Music","GAME"
"Domino's Pizza USA","$1,109,000.00","Food & Drink","Food & Drink","FOOD_AND_DRINK"
"Egg, Inc.","$1,109,000.00","Games","Simulation","FAMILY"
"PewDiePie's Tuber Simulator","$1,109,000.00","Games","Casual","FAMILY"
"The Guardian","$1,109,000.00","News","News & Magazines","NEWS_AND_MAGAZINES"
"The EO Bar","$1,064,100.00","Health & Fitness","Health & Fitness","HEALTH_AND_FITNESS"
"Adobe Illustrator Draw","$1,055,000.00","Productivity","Photography","PHOTOGRAPHY"
"AJ Jump: Animal Jam Kangaroos!","$1,055,000.00","Games","Arcade","GAME"
"Angry Birds Blast","$1,055,000.00","Games","Puzzle","FAMILY"
"Angry Birds Epic RPG","$1,055,000.00","Games","Role Playing","FAMILY"
"Angry Birds Rio","$1,055,000.00","Games","Arcade","GAME"
"Animal Jam - Play Wild!","$1,055,000.00","Games","Casual;Pretend Play","FAMILY"
"Army of Heroes","$1,055,000.00","Games","Strategy","FAMILY"
"Asphalt 8: Airborne","$1,055,000.00","Games","Racing","GAME"
"Bad Piggies HD","$1,055,000.00","Games","Puzzle","FAMILY"
"Bejeweled Classic","$1,055,000.00","Games","Casual","FAMILY"
"Bible","$1,055,000.00","Reference","Books & Reference","BOOKS_AND_REFERENCE"
"Boom Beach","$1,055,000.00","Games","Strategy","FAMILY"
"Bullet Force","$1,055,000.00","Games","Action","GAME"
"Call of Duty®: Heroes","$1,055,000.00","Games","Action","GAME"
"Candy Crush Saga","$1,055,000.00","Games","Casual","FAMILY"
"Candy Crush Saga","$1,055,000.00","Games","Casual","GAME"
"Candy Crush Soda Saga","$1,055,000.00","Games","Casual","GAME"
"Chase Mobile","$1,055,000.00","Finance","Finance","FINANCE"
"Choices: Stories You Play","$1,055,000.00","Games","Simulation","FAMILY"
"Choices: Stories You Play","$1,055,000.00","Games","Simulation","GAME"
"Clash of Clans","$1,055,000.00","Games","Strategy","FAMILY"
"Clash of Clans","$1,055,000.00","Games","Strategy","GAME"
"Clash Royale","$1,055,000.00","Games","Strategy","FAMILY"
"Clash Royale","$1,055,000.00","Games","Strategy","GAME"
"ClassDojo","$1,055,000.00","Education","Education;Education","EDUCATION"
"ClassDojo","$1,055,000.00","Education","Education;Education","FAMILY"
"Cooking Fever","$1,055,000.00","Games","Arcade","GAME"
"Design Home","$1,055,000.00","Games","Simulation","FAMILY"
"Discord - Chat for Gamers","$1,055,000.00","Social Networking","Communication","COMMUNICATION"
