"apple_genre","count","net_income"
"Games","3","$1,109,000.00"
"Food & Drink","1","$1,109,000.00"
"News","1","$1,109,000.00"
"Shopping","1","$1,109,000.00"
"Health & Fitness","1","$1,064,100.00"
"Games","78","$1,055,000.00"
"Productivity","5","$1,055,000.00"
"Social Networking","4","$1,055,000.00"
"Entertainment","3","$1,055,000.00"
"Photo & Video","3","$1,055,000.00"
"Food & Drink","2","$1,055,000.00"
"Shopping","2","$1,055,000.00"
"Education","1","$1,055,000.00"
"Finance","1","$1,055,000.00"
"Health & Fitness","1","$1,055,000.00"
"News","1","$1,055,000.00"
"Reference","1","$1,055,000.00"
"Weather","1","$1,055,000.00"
"Games","8","$1,050,100.00"
"Book","1","$1,050,100.00"
"Education","1","$1,050,100.00"
"Health & Fitness","1","$1,050,100.00"
"Social Networking","1","$1,050,100.00"
"Education","1","$1,040,100.00"
"Entertainment","1","$1,040,100.00"
"Games","5","$1,030,100.00"
"Entertainment","1","$1,030,100.00"
"Games","22","$1,001,000.00"
"Entertainment","4","$1,001,000.00"
"Productivity","4","$1,001,000.00"
"Photo & Video","2","$1,001,000.00"
"Social Networking","2","$1,001,000.00"
"Education","1","$1,001,000.00"
"Catalogs","1","$1,000,100.00"
"Games","1","$996,100.00"
"Education","1","$986,100.00"
"Games","1","$976,100.00"
"Games","34","$947,000.00"
"Entertainment","6","$947,000.00"
"Productivity","5","$947,000.00"
"Social Networking","3","$947,000.00"
"Business","2","$947,000.00"
"Finance","2","$947,000.00"
"Sports","2","$947,000.00"
"Travel","2","$947,000.00"
"Utilities","2","$947,000.00"
"Education","1","$947,000.00"
"Food & Drink","1","$947,000.00"
"Health & Fitness","1","$947,000.00"
"Photo & Video","1","$947,000.00"
"Shopping","1","$947,000.00"
"Education","3","$942,100.00"
"Games","1","$942,100.00"
"Education","1","$932,100.00"
"Games","1","$930,100.00"
"Games","5","$922,100.00"
"Food & Drink","1","$922,100.00"
"Games","1","$912,100.00"
"Games","1","$902,100.00"
"Games","2","$872,100.00"
"Games","1","$868,100.00"
"Entertainment","5","$839,000.00"
"Education","4","$839,000.00"
"Games","4","$839,000.00"
"Social Networking","4","$839,000.00"
"Sports","4","$839,000.00"
"News","3","$839,000.00"
"Food & Drink","2","$839,000.00"
"Photo & Video","2","$839,000.00"
"Travel","2","$839,000.00"
"Finance","1","$839,000.00"
"Lifestyle","1","$839,000.00"
"Navigation","1","$839,000.00"
"Productivity","1","$839,000.00"
"Reference","1","$839,000.00"
"Utilities","1","$839,000.00"
"Weather","1","$834,100.00"
"Utilities","1","$824,100.00"
"Games","2","$814,100.00"
"Medical","1","$776,100.00"
"Entertainment","3","$731,000.00"
"Games","3","$731,000.00"
"Travel","3","$731,000.00"
"Business","1","$731,000.00"
"Finance","1","$731,000.00"
"Food & Drink","1","$731,000.00"
"News","1","$731,000.00"
"Photo & Video","1","$731,000.00"
"Shopping","1","$731,000.00"
"Social Networking","1","$731,000.00"
"Utilities","1","$731,000.00"
"Medical","1","$714,100.00"
"Entertainment","3","$623,000.00"
"Sports","2","$623,000.00"
"Business","1","$623,000.00"
"Games","1","$623,000.00"
"Lifestyle","1","$623,000.00"
"Photo & Video","1","$623,000.00"
"Shopping","1","$623,000.00"
"Social Networking","1","$623,000.00"
"Travel","1","$623,000.00"
"Entertainment","1","$515,000.00"
"Finance","1","$515,000.00"
"Food & Drink","1","$515,000.00"
"Lifestyle","1","$515,000.00"
"Sports","1","$515,000.00"
"Education","1","$510,100.00"
"Lifestyle","1","$407,000.00"
"Travel","1","$407,000.00"
