"name","net_income","aquire_cost","rounded_rating","longevity_months"
"ASOS","$1,109,000.00","$25,000.00","4.75",126
"Cytus","$1,109,000.00","$25,000.00","4.75",126
"Domino's Pizza USA","$1,109,000.00","$25,000.00","4.75",126
"Egg, Inc.","$1,109,000.00","$25,000.00","4.75",126
"PewDiePie's Tuber Simulator","$1,109,000.00","$25,000.00","4.75",126
"The Guardian","$1,109,000.00","$25,000.00","4.75",126
"The EO Bar","$1,064,100.00","$69,900.00","4.75",126
"Adobe Illustrator Draw","$1,055,000.00","$25,000.00","4.50",120
"AJ Jump: Animal Jam Kangaroos!","$1,055,000.00","$25,000.00","4.50",120
"Angry Birds Blast","$1,055,000.00","$25,000.00","4.50",120
"Angry Birds Epic RPG","$1,055,000.00","$25,000.00","4.50",120
"Angry Birds Rio","$1,055,000.00","$25,000.00","4.50",120
"Animal Jam - Play Wild!","$1,055,000.00","$25,000.00","4.50",120
"Army of Heroes","$1,055,000.00","$25,000.00","4.50",120
"Asphalt 8: Airborne","$1,055,000.00","$25,000.00","4.50",120
"Bad Piggies HD","$1,055,000.00","$25,000.00","4.50",120
"Bejeweled Classic","$1,055,000.00","$25,000.00","4.50",120
"Bible","$1,055,000.00","$25,000.00","4.50",120
"Boom Beach","$1,055,000.00","$25,000.00","4.50",120
"Bullet Force","$1,055,000.00","$25,000.00","4.50",120
"Call of Duty®: Heroes","$1,055,000.00","$25,000.00","4.50",120
"Candy Crush Saga","$1,055,000.00","$25,000.00","4.50",120
"Candy Crush Soda Saga","$1,055,000.00","$25,000.00","4.50",120
"Chase Mobile","$1,055,000.00","$25,000.00","4.50",120
"Choices: Stories You Play","$1,055,000.00","$25,000.00","4.50",120
"Clash of Clans","$1,055,000.00","$25,000.00","4.50",120
"Clash Royale","$1,055,000.00","$25,000.00","4.50",120
"ClassDojo","$1,055,000.00","$25,000.00","4.50",120
"Cooking Fever","$1,055,000.00","$25,000.00","4.50",120
"Design Home","$1,055,000.00","$25,000.00","4.50",120
"Discord - Chat for Gamers","$1,055,000.00","$25,000.00","4.50",120
"Disney Crossy Road","$1,055,000.00","$25,000.00","4.50",120
"DoorDash - Food Delivery","$1,055,000.00","$25,000.00","4.50",120
"Dragon Hills","$1,055,000.00","$25,000.00","4.50",120
"Dude Perfect","$1,055,000.00","$25,000.00","4.50",120
"Dude Perfect 2","$1,055,000.00","$25,000.00","4.50",120
"Earn to Die 2","$1,055,000.00","$25,000.00","4.50",120
"Fallout Shelter","$1,055,000.00","$25,000.00","4.50",120
"Farm Heroes Saga","$1,055,000.00","$25,000.00","4.50",120
"Fernanfloo","$1,055,000.00","$25,000.00","4.50",120
"FINAL FANTASY BRAVE EXVIUS","$1,055,000.00","$25,000.00","4.50",120
"Fishdom","$1,055,000.00","$25,000.00","4.50",120
"Fuel Rewards® program","$1,055,000.00","$25,000.00","4.50",120
"Gear.Club - True Racing","$1,055,000.00","$25,000.00","4.50",120
"Geometry Dash Lite","$1,055,000.00","$25,000.00","4.50",120
"Geometry Dash Meltdown","$1,055,000.00","$25,000.00","4.50",120
"Geometry Dash World","$1,055,000.00","$25,000.00","4.50",120
"GroupMe","$1,055,000.00","$25,000.00","4.50",120
"H*nest Meditation","$1,055,000.00","$25,000.00","4.50",120
"Hay Day","$1,055,000.00","$25,000.00","4.50",120
"Hill Climb Racing","$1,055,000.00","$25,000.00","4.50",120
"Hill Climb Racing 2","$1,055,000.00","$25,000.00","4.50",120
"Hitman Sniper","$1,055,000.00","$25,000.00","4.50",120
"Hot Wheels: Race Off","$1,055,000.00","$25,000.00","4.50",120
"Hungry Shark Evolution","$1,055,000.00","$25,000.00","4.50",120
"Hungry Shark World","$1,055,000.00","$25,000.00","4.50",120
"Injustice: Gods Among Us","$1,055,000.00","$25,000.00","4.50",120
"Inside Out Thought Bubbles","$1,055,000.00","$25,000.00","4.50",120
"Instagram","$1,055,000.00","$25,000.00","4.50",120
"Jetpack Joyride","$1,055,000.00","$25,000.00","4.50",120
"MARVEL Future Fight","$1,055,000.00","$25,000.00","4.50",120
"Microsoft Excel","$1,055,000.00","$25,000.00","4.50",120
"Microsoft OneNote","$1,055,000.00","$25,000.00","4.50",120
"Microsoft Word","$1,055,000.00","$25,000.00","4.50",120
"MORTAL KOMBAT X","$1,055,000.00","$25,000.00","4.50",120
"My Horse","$1,055,000.00","$25,000.00","4.50",120
"My Talking Angela","$1,055,000.00","$25,000.00","4.50",120
"My Talking Tom","$1,055,000.00","$25,000.00","4.50",120
"Narcos: Cartel Wars","$1,055,000.00","$25,000.00","4.50",120
"Need for Speed™ No Limits","$1,055,000.00","$25,000.00","4.50",120
"Nyan Cat: Lost In Space","$1,055,000.00","$25,000.00","4.50",120
"OK K.O.! Lakewood Plaza Turbo","$1,055,000.00","$25,000.00","4.50",120
"PES CLUB MANAGER","$1,055,000.00","$25,000.00","4.50",120
"Photo Editor by Aviary","$1,055,000.00","$25,000.00","4.50",120
"PicsArt Photo Studio: Collage Maker & Pic Editor","$1,055,000.00","$25,000.00","4.50",120
"Pinterest","$1,055,000.00","$25,000.00","4.50",120
"Plants vs. Zombies™ 2","$1,055,000.00","$25,000.00","4.50",120
"Plants vs. Zombies™ Heroes","$1,055,000.00","$25,000.00","4.50",120
"Real Basketball","$1,055,000.00","$25,000.00","4.50",120
"Real Racing 3","$1,055,000.00","$25,000.00","4.50",120
"Red Ball 4","$1,055,000.00","$25,000.00","4.50",120
"ROBLOX","$1,055,000.00","$25,000.00","4.50",120
"Rolling Sky","$1,055,000.00","$25,000.00","4.50",120
"Score! Hero","$1,055,000.00","$25,000.00","4.50",120
"Seven - 7 Minute Workout Training Challenge","$1,055,000.00","$25,000.00","4.50",120
"Shadow Fight 2","$1,055,000.00","$25,000.00","4.50",120
"SimCity BuildIt","$1,055,000.00","$25,000.00","4.50",120
"Smash Hit","$1,055,000.00","$25,000.00","4.50",120
"Solitaire","$1,055,000.00","$25,000.00","4.50",120
"Sonic Dash","$1,055,000.00","$25,000.00","4.50",120
"Star Wars™: Galaxy of Heroes","$1,055,000.00","$25,000.00","4.50",120
"Starbucks","$1,055,000.00","$25,000.00","4.50",120
"Subway Surfers","$1,055,000.00","$25,000.00","4.50",120
"Swamp Attack","$1,055,000.00","$25,000.00","4.50",120
"Talking Tom Bubble Shooter","$1,055,000.00","$25,000.00","4.50",120
"The CW","$1,055,000.00","$25,000.00","4.50",120
"The Washington Post Classic","$1,055,000.00","$25,000.00","4.50",120
"Township","$1,055,000.00","$25,000.00","4.50",120
"Toy Blast","$1,055,000.00","$25,000.00","4.50",120
"Traffic Racer","$1,055,000.00","$25,000.00","4.50",120
"Trello","$1,055,000.00","$25,000.00","4.50",120
"Trivia Crack","$1,055,000.00","$25,000.00","4.50",120
"War Robots","$1,055,000.00","$25,000.00","4.50",120
"WhatsApp Messenger","$1,055,000.00","$25,000.00","4.50",120
"Where's My Water?","$1,055,000.00","$25,000.00","4.50",120
"Wish - Shopping Made Fun","$1,055,000.00","$25,000.00","4.50",120
"Yahoo Weather","$1,055,000.00","$25,000.00","4.50",120
"YouTube Kids","$1,055,000.00","$25,000.00","4.50",120
"Zombie Catchers","$1,055,000.00","$25,000.00","4.50",120
"Zombie Tsunami","$1,055,000.00","$25,000.00","4.50",120
